Date,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00:00
2/28/2010,148.083,162.475,175.198,160.675,150.874,183.266,229.709,238.968,210.295,184.668,197.544,189.559,195.856,211.775,227.53,254.799,229.494,239.005,222.975,222.921,229.304,238.982,222.921,216.729,206.956,213.518,195.828,202.373,181.369,199.095,213.596,186.361,178.408,172.164,159.203,167.191,167.258,167.232,176.52,194.49,175.272,167.191,176.568,197.576,180.191,162.302,181.476,189.483
3/1/2010,186.467,178.381,175.252,188.852,226.774,181.415,192.637,212.987,232.922,200.709,209.927,237.196,239.08,223.01,226.041,237.127,245.311,233.04,197.459,186.331,169.403,144.715,139.154,122.637,122.606,122.656,119.597,105.389,84.645,72.458,80.037,97.325,89.191,92.191,97.332,92.152,100.211,103.534,105.458,92.089,103.183,108.752,103.318,120.432,147.794,153.335,144.898,147.955
3/2/2010,156.084,153.052,147.949,171.036,205.802,183.562,188.047,248.291,247.49,219.946,217.807,234.126,231.098,223.01,222.977,231.802,250.54,228.207,199.954,161.348,141.982,130.803,116.758,103.287,120.287,127.302,83.924,100.314,94.482,83.926,97.405,86.237,80.984,89.191,92.091,100.355,103.262,111.459,108.587,100.34,106.136,119.744,108.579,111.935,142.051,136.69,144.897,142.057
3/3/2010,142.383,158.271,139.541,196.95,291.879,228.357,208.863,200.655,203.672,211.829,214.647,228.759,236.658,220.377,236.707,220.429,245.21,236.725,206.109,183.769,170.113,178.383,178.334,175.559,164.386,153.199,147.8,141.876,105.987,125.493,128.116,122.783,153.276,142.126,133.787,139.4,150.458,130.964,133.879,164.439,153.268,142.084,136.618,156.18,186.674,175.602,169.915,178.086
3/4/2010,178.78,178.383,186.715,237.004,292.625,231.276,231.373,245.282,214.553,220.229,217.39,234.063,234.161,234.128,228.525,220.167,242.51,239.589,242.647,189.636,150.529,136.563,139.426,122.604,125.406,139.286,150.553,122.829,89.192,94.643,106.029,91.928,103.044,111.475,111.427,111.552,111.505,114.214,122.604,119.936,114.175,122.534,120.046,125.049,164.48,156.107,156.086,153.341
3/5/2010,147.657,156.086,156.041,174.97,223.356,184.102,172.635,189.533,194.843,206.495,210.98,270.617,239.959,225.655,231.392,231.02,261.764,267.99,226.169,192.696,164.529,148.134,122.639,119.952,108.827,105.564,120.062,108.86,95.054,80.659,91.843,95.066,80.653,91.837,97.71,97.046,120.029,108.865,100.312,97.734,97.065,120.021,111.458,111.505,114.103,122.603,125.264,131.182
3/6/2010,127.807,144.957,157.94,182.439,122.619,143.445,198.822,153.518,152.702,173.166,158.69,167.236,164.609,174.146,236.706,234.923,198.138,197.243,215.221,186.994,180.973,186.971,180.89,184.442,167.236,167.038,166.902,162.638,142.348,136.352,144.938,144.894,142.417,131.251,125.137,138.873,151.023,146.386,181.976,161.14,173.289,163.671,181.975,156.04,161.137,178.386,178.331,175.899
3/7/2010,167.237,164.683,158.61,169.738,175.835,184.733,245.281,245.205,237.788,216.661,234.262,231.677,230.431,251.395,234.161,231.655,220.442,214.331,220.512,211.768,216.791,226.74,195.704,180.867,187.077,178.331,175.955,167.237,162.291,142.461,140.957,164.962,153.666,144.939,140.025,129.959,156.088,153.611,149.813,169.557,173.253,154.025,147.36,156.039,156.107,158.503,167.185,164.848
3/8/2010,158.497,162.378,149.764,181.651,224.469,187.161,197.555,262.713,242.92,231.743,225.298,234.161,236.517,245.204,242.932,243.643,278.641,276.39,258.096,220.546,207.038,186.948,176.283,164.897,160.807,171.268,144.957,133.176,91.513,98.007,93.887,109.115,102.696,109.152,102.646,109.17,102.677,111.456,109.176,102.671,109.133,100.355,104.986,124.918,140.757,160.292,131.437,129.587
3/9/2010,153.796,140.321,131.819,176.475,202.623,164.814,153.624,161.25,229.554,247.084,212.304,209.276,202.353,214.966,220.632,218.699,240.727,225.185,227.34,200.686,189.284,144.957,142.674,136.008,140.434,127.161,140.383,120.376,111.381,111.443,113.902,124.889,129.262,113.748,122.656,124.838,129.17,111.654,109.258,107,127.116,102.572,109.232,113.698,165.016,160.473,173.973,160.523
