Datetime,Electric,Water,Gas
2010-12-13,4549.448,23.607,6734.351
2010-12-14,4532.464,22.194,6455.497
2010-12-15,4336.598,19.758,5505.1
2010-12-16,4489.577,21.083,6628.289
2010-12-17,3897.652,19.019000000000002,8897.423999999999
2010-12-18,2493.834,3.206,6678.547
2010-12-19,2652.245,3.183,6857.874
2010-12-20,3293.89,10.729,10336.088
2010-12-21,3304.613,10.982,10774.303
2010-12-22,3060.708,9.221,10244.235
2010-12-23,3140.977,8.778,9927.87
2010-12-24,2659.647,4.546,10011.751
2010-12-25,2178.727,1.317,7546.403
2010-12-26,2157.183,1.541,7479.066
2010-12-27,2308.761,2.582,8917.677
2010-12-28,2286.214,1.234,7598.009
2010-12-29,2330.969,1.162,6955.511
2010-12-30,2322.163,1.1,6823.686
2010-12-31,2107.226,1.1360000000000001,6669.452
2011-01-01,1914.006,0.598,6052.022
2011-01-02,1839.793,0.64,6953.683
2011-01-03,2046.365,1.295,8843.371
2011-01-04,2925.338,9.515,9021.613
2011-01-05,2965.598,9.877,7497.436
2011-01-06,2992.085,10.0,8556.4
2011-01-07,2903.491,8.902,7485.309
2011-01-08,2100.823,2.174,5762.817
2011-01-09,2143.175,2.719,6685.587
2011-01-10,3973.956,23.649,6986.983
2011-01-11,4422.2789999999995,20.743,6817.321
2011-01-12,4407.919,19.466,5166.057
2011-01-13,4317.881,28.399,3981.721
2011-01-14,3981.532,25.546,4938.074
2011-01-15,2384.828,12.115,4359.69
2011-01-16,2089.775,11.975,4248.925
2011-01-17,3738.355,31.742,5441.064
2011-01-18,3773.457,28.396,5991.448
2011-01-19,3689.717,20.733999999999998,6244.333
2011-01-20,3923.635,23.818,7727.16
2011-01-21,3577.008,19.178,8327.396
2011-01-22,2150.724,4.016,5030.037
2011-01-23,2080.631,3.016,4455.12
2011-01-24,4136.153,24.222,5797.828
2011-01-25,4226.359,21.521,5161.901
2011-01-26,4083.735,17.479,6635.944
2011-01-27,4538.018,22.65,8017.043
2011-01-28,4285.771,18.176000000000002,8596.622
2011-01-29,2920.56,5.001,6800.319
2011-01-30,2299.939,2.2560000000000002,6679.083
2011-01-31,4563.495,24.703,9131.029
2011-02-01,4579.73,22.715,5898.221
2011-02-02,4358.827,19.176,5296.156
2011-02-03,4476.772,23.589,5563.549
2011-02-04,3854.921,18.905,4995.152
2011-02-05,2226.188,3.629,4170.125
2011-02-06,2360.664,3.835,5306.752
2011-02-07,3954.309,24.403,5430.19
2011-02-08,3715.359,24.448,5686.328
2011-02-09,3547.234,19.929,4593.619
2011-02-10,3878.932,23.857,4493.142
2011-02-11,3484.99,18.051,4259.79
2011-02-12,2042.359,4.131,3167.031
2011-02-13,2001.388,3.906,4725.513
2011-02-14,3890.897,22.644000000000002,6645.257
2011-02-15,4184.75,22.812,6945.484
2011-02-16,4034.407,20.386,6689.786
2011-02-17,4111.765,22.709,5565.423
2011-02-18,4220.4,18.102999999999998,6695.289
2011-02-19,2758.29,1.986,5302.694
2011-02-20,2317.274,2.516,5612.222
2011-02-21,3801.951,20.929,7383.106
2011-02-22,3735.8830000000003,22.369,5590.544
2011-02-23,3603.433,19.317,4438.761
2011-02-24,3614.543,20.543,3946.948
2011-02-25,3438.7,15.383000000000001,4425.059
2011-02-26,2085.882,1.463,3693.255
2011-02-27,1994.32,0.994,4925.309
2011-02-28,4002.795,23.584,7273.271
2011-03-01,4082.39,23.527,6084.108
2011-03-02,3703.371,19.659,6670.738
2011-03-03,4164.371,24.824,8253.316
2011-03-04,4056.916,19.155,7744.503
2011-03-05,2544.864,5.601,5488.948
2011-03-06,2742.072,3.6710000000000003,5684.282
2011-03-07,4554.314,23.514,6198.953
2011-03-08,4574.342,23.194,6340.736
2011-03-09,4388.0,20.555,5173.391
2011-03-10,4438.304,23.576999999999998,4541.95
2011-03-11,4147.8859999999995,19.321,5035.206
2011-03-12,2615.37,4.54,3505.46
2011-03-13,2463.866,3.561,3953.573
2011-03-14,4250.0,23.963,5889.342
2011-03-15,4281.168,23.687,4638.191
2011-03-16,4133.374,20.876,4869.953
2011-03-17,4219.584,23.233999999999998,5519.043
2011-03-18,3945.321,20.199,5044.063
2011-03-19,2285.5769999999998,2.312,4529.985
2011-03-20,2330.294,2.792,4415.842
2011-03-21,4176.672,26.218,3907.602
2011-03-22,4177.197,24.634,3461.806
2011-03-23,4046.583,21.108,3408.953
2011-03-24,4060.071,24.678,3361.361
2011-03-25,3913.84,23.557,3520.777
2011-03-26,2211.115,3.336,3531.413
2011-03-27,2353.556,3.768,3445.176
2011-03-28,4241.711,26.097,4359.505
2011-03-29,4137.424,24.077,3500.93
2011-03-30,4138.211,21.634999999999998,3545.5280000000002
2011-03-31,4052.4429999999998,24.894,3441.898
2011-04-01,3824.751,18.63,3648.9790000000003
2011-04-02,2198.174,2.685,2880.068
2011-04-03,2390.547,2.811,3680.209
2011-04-04,3961.035,23.943,4633.914
2011-04-05,3835.7799999999997,21.057,3634.836
2011-04-06,3781.582,24.632,2735.122
2011-04-07,3806.168,22.92,2731.626
2011-04-08,3356.379,22.422,2709.298
2011-04-09,1895.895,1.584,2397.084
2011-04-10,1901.731,4.273,2490.122
2011-04-11,3093.607,14.793,2612.364
2011-04-12,3291.508,15.252,3526.484
2011-04-13,3351.661,15.934,4604.682
2011-04-14,3375.655,15.372,3676.18
2011-04-15,3196.7690000000002,12.231,3017.249
2011-04-16,2099.299,7.3709999999999996,2717.592
2011-04-17,2003.042,7.477,2664.719
2011-04-18,3194.849,16.627,2575.373
2011-04-19,3227.791,17.656,2653.635
2011-04-20,3273.611,19.145,2361.302
2011-04-21,3262.892,22.057,2365.985
2011-04-22,2508.892,18.233,2078.225
2011-04-23,2062.157,2.124,2131.523
2011-04-24,2117.288,8.421,2357.05
2011-04-25,2183.859,11.239,2331.949
2011-04-26,2208.864,1.8900000000000001,2825.429
2011-04-27,2812.149,9.264,2780.937
2011-04-28,3045.351,13.712,2760.2
2011-04-29,2549.324,6.617,2502.286
2011-04-30,2163.669,3.012,2503.626
2011-05-01,2143.879,12.329,2960.558
2011-05-02,2135.183,18.11,3316.49
2011-05-03,3590.859,25.909,3405.662
2011-05-04,3746.776,22.652,3043.84
2011-05-05,3658.509,24.158,2542.042
2011-05-06,3572.139,25.919999999999998,2223.409
2011-05-07,2398.668,2.697,2102.431
2011-05-08,2401.584,5.063,2319.354
2011-05-09,3714.041,18.491,2447.043
2011-05-10,3739.682,23.474999999999998,2363.476
2011-05-11,3687.219,18.249,2458.46
2011-05-12,3639.591,18.475,2575.345
2011-05-13,3431.056,15.568,2575.616
2011-05-14,2413.751,5.03,2692.375
2011-05-15,2324.123,3.732,2564.302
2011-05-16,3741.35,19.982,2335.987
2011-05-17,3696.339,18.816,2319.029
2011-05-18,3620.93,18.881,2726.42
2011-05-19,3476.369,18.403,2910.047
2011-05-20,3368.087,14.365,2596.818
2011-05-21,2409.123,6.94,2654.632
2011-05-22,2048.631,2.422,2485.091
2011-05-23,3447.663,17.325,2615.143
2011-05-24,3488.364,15.636000000000001,2585.169
2011-05-25,3537.91,18.583,2387.407
2011-05-26,3521.398,17.074,2713.87
2011-05-27,3284.304,11.771,2597.886
2011-05-28,2184.936,2.586,2499.301
2011-05-29,2207.876,1.6360000000000001,2385.983
2011-05-30,2480.826,0.623,2557.744
2011-05-31,2189.809,1.131,2780.646
2011-06-01,3234.328,17.191,2350.399
2011-06-02,2974.277,21.065,1075.817
2011-06-03,2921.599,18.96,1258.569
2011-06-04,2307.051,4.888,1832.687
2011-06-05,2365.641,0.979,2033.272
2011-06-06,3245.591,12.606,1935.746
2011-06-07,3240.061,12.003,2103.098
2011-06-08,3231.9809999999998,13.269,2029.169
2011-06-09,3142.955,12.528,1835.67
2011-06-10,3056.528,10.411999999999999,2003.54
2011-06-11,2461.893,2.367,2185.218
2011-06-12,2362.874,1.565,2289.181
2011-06-13,3122.883,11.249,1817.367
2011-06-14,3214.644,25.613,1902.742
2011-06-15,3130.423,14.365,1854.643
2011-06-16,3063.601,12.892,1902.514
2011-06-17,2977.115,11.491,1985.186
2011-06-18,1904.251,1.3639999999999999,2125.322
2011-06-19,1867.86,1.2610000000000001,2103.863
2011-06-20,2837.48,19.012,1895.425
2011-06-21,2882.253,15.414,1756.995
2011-06-22,2933.097,16.724,1855.436
2011-06-23,2869.834,11.173,1820.52
2011-06-24,2693.449,9.335,1853.86
2011-06-25,1869.456,5.093,1892.226
2011-06-26,1927.753,7.0649999999999995,1903.4940000000001
2011-06-27,3259.539,34.108,1728.219
2011-06-28,3230.751,10.567,1781.371
2011-06-29,3173.195,18.381,1803.136
2011-06-30,3108.217,13.983,1761.727
2011-07-01,3021.863,14.625,1789.406
2011-07-02,2461.134,9.221,1814.74
2011-07-03,2035.542,7.89,1797.693
2011-07-04,3054.641,25.438,1705.8329999999999
2011-07-05,2992.499,16.271,1694.739
2011-07-06,2941.801,10.604,1757.714
2011-07-07,3106.762,17.7,1968.582
2011-07-08,3000.973,13.126,1893.05
2011-07-09,2156.287,7.138,1933.355
2011-07-10,1940.1209999999999,7.001,1895.314
2011-07-11,3013.124,25.025,1799.712
2011-07-12,2949.951,13.362,1806.273
2011-07-13,2951.252,14.161,1797.141
2011-07-14,2974.125,26.674,2008.886
2011-07-15,2879.303,19.516,1808.873
2011-07-16,1787.546,0.33,1701.217
2011-07-17,1795.497,0.307,1635.393
2011-07-18,2925.396,2.915,1691.8509999999999
2011-07-19,2883.469,10.705,1634.255
2011-07-20,2918.972,15.326,1648.491
2011-07-21,2894.764,14.416,1653.3029999999999
2011-07-22,2855.1059999999998,12.711,1731.131
2011-07-23,1800.392,1.1,1670.78
2011-07-24,1748.491,0.552,1695.966
2011-07-25,2894.441,20.43,1778.379
2011-07-26,2924.297,18.976,1753.102
2011-07-27,2877.115,22.921,1672.354
2011-07-28,2811.025,20.2,1603.11
2011-07-29,2623.128,13.287,1653.3419999999999
2011-07-30,1706.537,11.959,1726.08
2011-07-31,1607.182,11.36,1637.956
2011-08-01,2656.077,30.511,1595.353
2011-08-02,2471.519,31.023,957.751
2011-08-03,2391.446,31.74,130.656
