Datetime,Electric,Water,Gas,temp,dew_point,pressure,humidity,wind_speed
2018-03-21,2740.75,4.844,6132.781,3.9133333333333336,0.015416666666666634,1030.4166666666667,77.125,3.9112500000000003
2018-03-22,2582.749,5.198,4839.326,7.267499999999999,3.6758333333333333,1017.9166666666666,78.41666666666667,5.2004166666666665
2018-03-23,2538.25,4.829,4482.51,8.062916666666666,3.9620833333333336,998.7916666666666,76.125,5.7820833333333335
2018-03-24,1889.75,0.964,78.056,6.810416666666666,5.118333333333333,1001.375,89.125,1.67875
2018-03-25,1870.25,3.205,66.905,7.385416666666667,2.8479166666666664,1011.3333333333334,75.0,2.67375
2018-03-26,2539.0,4.64,7292.434,7.0275,2.3925,1016.5,73.91666666666667,2.7525
2018-03-27,2559.5,7.739,5162.69,7.317916666666666,5.149583333333333,1006.1666666666666,86.41666666666667,4.7820833333333335
2018-03-28,2453.0,7.444,5329.948,5.370416666666666,3.17125,1003.375,86.0,3.2045833333333333
2018-03-29,2354.25,4.189,5474.902,4.449166666666667,3.0195833333333333,1000.0,90.70833333333333,4.058333333333334
2018-03-30,1881.5,0.999,5709.062,5.023333333333333,3.9416666666666664,995.5,92.91666666666667,4.444166666666667
2018-03-31,1723.5,0.674,89.208,4.33625,3.497083333333333,998.25,94.29166666666667,4.888333333333333
2018-04-01,1634.75,0.768,89.207,3.519166666666667,0.6670833333333333,1011.0416666666666,81.95833333333333,3.0966666666666662
2018-04-02,1913.5,0.995,9890.502,6.701250000000001,5.86375,997.375,94.54166666666667,5.449583333333333
2018-04-03,1915.25,1.344,5129.237,10.1675,7.995,991.875,86.91666666666667,5.485416666666667
2018-04-04,2361.25,4.205,4426.754,8.033333333333333,6.47,992.5416666666666,89.95833333333333,5.545000000000001
2018-04-05,2353.75,4.47,4694.368,6.1554166666666665,0.25958333333333333,1013.5833333333334,67.70833333333333,4.037916666666667
2018-04-06,2430.5,3.594,4103.39,8.875833333333334,4.676666666666667,1009.8333333333334,75.70833333333333,5.459166666666667
2018-04-07,1910.75,0.962,66.905,9.77875,7.9425,1004.9166666666666,88.45833333333333,2.8212500000000005
2018-04-08,1865.752,1.117,66.904,8.531666666666666,7.167083333333333,1008.5833333333334,91.20833333333333,1.7270833333333335
2018-04-09,2733.75,8.08,5876.324,8.02625,7.358750000000001,1007.3333333333334,95.70833333333333,3.215
2018-04-10,2840.0,8.904,4727.817,7.338333333333334,6.7525,1003.2083333333334,96.125,4.044583333333333
2018-04-11,2876.75,8.775,4694.37,6.44,6.19625,1008.375,98.33333333333333,4.524583333333333
2018-04-12,2855.25,8.279,5229.591,5.395,5.0475,1005.2916666666666,97.625,4.359583333333333
2018-04-13,2780.75,7.9,5229.592,7.382916666666667,6.552499999999999,1007.125,94.625,2.5620833333333333
2018-04-14,1859.25,2.048,66.905,11.516666666666666,7.958333333333333,1015.4583333333334,79.875,2.191666666666667
2018-04-15,1853.25,1.841,78.055,10.319166666666666,8.836666666666666,1008.5,90.70833333333333,4.35125
2018-04-16,2793.0,9.48,4527.109,10.975,6.360833333333333,1011.5833333333334,74.45833333333333,5.781666666666666
2018-04-17,2810.0,9.364,3545.865,12.38125,8.515,1016.8333333333334,77.45833333333333,7.970833333333334
2018-04-18,2768.0,10.014,1561.0739999999998,16.960833333333333,11.514583333333334,1024.8333333333333,71.875,5.482083333333333
2018-04-19,2725.5,9.426,1260.011,18.763749999999998,12.551250000000001,1023.0,68.75,2.4966666666666666
2018-04-20,2644.5,7.904,1761.782,13.949583333333335,9.16,1023.625,74.33333333333333,2.6525
2018-04-21,1900.25,1.649,55.755,14.865833333333335,10.020416666666668,1019.3333333333334,73.125,3.8000000000000003
2018-04-22,1873.25,1.735,55.755,14.887500000000001,10.609166666666667,1009.25,76.16666666666667,5.1187499999999995
2018-04-23,2663.5,8.98,3735.425,10.955,6.775833333333334,1013.7916666666666,76.125,6.118333333333333
2018-04-24,2777.0,9.215,3601.621,10.773333333333333,8.810416666666667,1010.7916666666666,87.79166666666667,5.79375
2018-04-25,2817.75,8.165,3980.734,9.30625,5.914166666666667,1010.25,79.95833333333333,5.827916666666667
2018-04-26,2890.75,8.975,3768.876,9.24875,3.8504166666666664,1013.8333333333334,70.29166666666667,5.810833333333334
2018-04-27,2723.5,8.215,3991.888,6.729583333333333,5.468333333333334,1008.5833333333334,91.70833333333333,3.2079166666666663
2018-04-28,2001.75,1.835,78.056,6.465416666666666,5.190416666666667,1011.0833333333334,91.58333333333333,4.181666666666667
2018-04-29,2013.5,2.235,66.906,6.437083333333334,3.82375,1013.25,83.83333333333333,5.9175
2018-04-30,2766.0,9.454,4281.801,6.490833333333334,1.3433333333333335,1008.5,70.70833333333333,6.629583333333334
2018-05-01,2674.75,8.814,3846.931,8.227500000000001,3.2320833333333336,1007.5,72.33333333333333,5.504166666666666
2018-05-02,2626.0,7.685,3869.232,9.10375,5.555416666666666,1004.25,79.5,6.516666666666667
2018-05-03,2544.5,9.09,2107.45,9.889583333333333,5.297083333333333,1018.0833333333334,74.20833333333333,3.2395833333333335
2018-05-04,2473.25,6.789,1683.731,12.908333333333333,9.634166666666667,1022.9166666666666,80.95833333333333,2.3937500000000003
2018-05-05,1875.75,2.426,55.755,15.765416666666667,10.994583333333333,1025.0416666666667,75.25,1.7779166666666668
2018-05-06,1888.75,2.865,55.755,17.177083333333332,10.162916666666666,1022.2916666666666,65.54166666666667,1.9833333333333334
2018-05-07,2042.75,2.52,55.755,18.610416666666666,12.180416666666666,1017.0833333333334,68.33333333333333,1.9829166666666664
2018-05-08,2553.5,8.17,345.668,16.30375,12.051666666666668,1009.4166666666666,76.91666666666667,3.783333333333333
2018-05-09,2463.251,8.104000000000001,1181.956,12.225,8.018749999999999,1008.5416666666666,77.0,3.094583333333333
2018-05-10,2545.75,8.08,1672.579,11.255833333333333,5.603750000000001,1014.2083333333334,70.125,3.950416666666667
2018-05-11,2522.75,7.49,1728.332,11.737083333333333,6.5075,1014.4583333333334,71.83333333333333,4.840416666666667
2018-05-12,1863.25,1.427,66.906,11.126666666666667,7.807083333333334,1012.5,80.95833333333333,1.5075
2018-05-13,1885.0,3.852,44.604,12.180833333333332,6.9624999999999995,1014.8333333333334,72.75,2.5483333333333333
2018-05-14,2532.75,6.621,2018.245,13.225416666666668,5.79375,1021.2916666666666,62.75,3.375833333333333
2018-05-15,2438.5,7.105,1315.762,15.424583333333333,8.975416666666666,1021.5,67.79166666666667,3.3679166666666664
2018-05-16,2491.5,6.33,1059.302,11.718333333333334,8.354583333333332,1026.8333333333333,80.16666666666667,5.545000000000001
2018-05-17,2468.5,7.08,2163.202,9.338333333333333,4.794583333333334,1028.4583333333333,74.79166666666667,3.5850000000000004
2018-05-18,2502.25,5.98,1784.084,11.194583333333334,6.566666666666666,1025.7083333333333,75.29166666666667,1.1604166666666667
2018-05-19,1857.0,2.625,55.755,14.033333333333333,7.919583333333333,1023.5416666666666,69.0,1.77625
2018-05-20,1898.75,3.438,55.755,15.9975,10.404583333333333,1021.3333333333334,71.5,2.464166666666667
2018-05-21,2476.5,6.554,1226.558,15.954583333333334,10.825000000000001,1017.2916666666666,73.66666666666667,2.7925
2018-05-22,2522.75,5.749,1103.902,14.392083333333334,9.891666666666667,1018.875,75.375,5.397083333333334
2018-05-23,2397.25,5.565,1739.482,12.450833333333334,8.837916666666667,1024.5833333333333,79.375,5.3308333333333335
2018-05-24,2480.0,5.699,2062.847,13.188333333333333,9.89625,1021.75,81.16666666666667,5.2595833333333335
2018-05-25,2442.25,5.295,1995.944,12.236666666666666,11.57,1019.0,95.75,3.157083333333333
2018-05-26,1796.5,6.755,55.755,15.454583333333334,12.681666666666667,1020.8333333333334,84.66666666666667,5.804166666666667
2018-05-27,1801.5,1.029,55.753,16.993333333333332,13.917916666666668,1016.9583333333334,82.79166666666667,4.79
2018-05-28,1934.5,1.296,44.604,16.506249999999998,14.329583333333334,1019.5833333333334,87.66666666666667,3.8837499999999996
2018-05-29,1923.75,1.42,55.755,15.137083333333335,13.464583333333332,1018.2083333333334,90.08333333333333,5.7775
2018-05-30,2300.75,3.355,44.604,13.890833333333333,13.346666666666666,1014.0,96.54166666666667,2.7279166666666668
2018-05-31,2353.25,3.344,55.754,17.097083333333334,15.399583333333334,1015.25,90.125,2.6025
2018-06-01,2324.25,2.765,44.604,17.82166666666667,15.363750000000001,1017.125,86.29166666666667,1.4795833333333333
2018-06-02,1753.25,1.015,44.603,17.53291666666667,15.2475,1017.5,87.04166666666667,2.564583333333333
2018-06-03,1682.75,0.6839999999999999,44.604,18.357916666666664,14.64125,1018.4583333333334,80.625,1.5395833333333335
2018-06-04,2196.5,3.95,44.604,14.834583333333333,13.012083333333335,1017.6666666666666,88.95833333333333,4.117083333333333
2018-06-05,2073.0,4.155,44.604,13.130833333333333,10.296666666666667,1018.0416666666666,83.5,3.870416666666667
2018-06-06,2137.5,4.75,55.755,13.28625,9.950000000000001,1016.6666666666666,81.16666666666667,2.8820833333333336
2018-06-07,2134.25,3.925,44.604,13.94625,10.710833333333333,1017.4583333333334,81.54166666666667,2.922083333333333
2018-06-08,2107.0,5.945,44.604,13.367916666666666,10.922083333333333,1018.0,85.41666666666667,2.6283333333333334
2018-06-09,1706.75,1.495,55.755,13.517916666666666,10.359166666666667,1016.9166666666666,81.83333333333333,2.1645833333333333
2018-06-10,1727.75,1.165,44.604,14.827083333333334,11.427083333333334,1015.5,81.45833333333333,2.3275
2018-06-11,2234.0,3.85,44.604,16.550833333333333,10.813749999999999,1014.625,72.04166666666667,2.222916666666667
2018-06-12,2145.25,4.315,44.604,14.293750000000001,10.48375,1017.6666666666666,78.70833333333333,3.657083333333333
2018-06-13,2126.625,4.079,33.453,16.042083333333334,11.686250000000001,1016.4166666666666,76.41666666666667,4.455416666666667
2018-06-14,2126.375,3.139,33.453,16.444166666666664,10.75625,1009.9166666666666,70.5,6.6066666666666665
2018-06-15,2066.5,2.895,33.453,14.725,9.154166666666667,1015.6666666666666,70.375,3.1666666666666665
2018-06-16,1563.25,0.86,44.604,14.587916666666667,10.435416666666667,1012.625,76.41666666666667,4.788333333333333
2018-06-17,1578.75,0.765,33.452,14.814583333333333,11.680833333333332,1014.2083333333334,81.83333333333333,5.29
2018-06-18,2159.0,4.05,33.453,17.846666666666668,13.862916666666665,1016.8333333333334,78.45833333333333,6.194583333333333
2018-06-19,2140.5,3.82,33.453,18.554166666666667,15.307083333333333,1020.9583333333334,81.75,4.963333333333334
2018-06-20,2176.75,5.984,33.453,17.151666666666667,13.450000000000001,1018.9166666666666,79.20833333333333,6.566666666666666
2018-06-21,2102.499,4.66,33.453,13.2975,5.974166666666666,1026.0,62.958333333333336,5.625
